914 920
675 868 -122
246 412 444
117 870 -553
689 841 692
831 207 -59
55 146 -691
76 190 939
592 15 180
754 892 409
809 205 82
845 519 835
294 695 466
794 246 -550
675 36 536
725 640 791
830 898 868
242 864 -360
787 209 -26
900 762 218
682 45 -797
165 540 647
219 885 -582
284 183 34
478 219 782
273 674 -635
903 868 134
893 400 925
511 61 509
368 628 -299
400 151 -965
486 532 -545
16 592 597
37 289 592
151 32 16
467 173 -150
375 690 63
222 817 -252
632 515 -544
39 174 648
169 138 518
164 483 576
206 102 -890
95 412 -198
215 754 -48
310 676 -143
67 438 -289
134 529 -672
254 501 112
475 618 8
389 194 -493
207 883 427
120 76 -258
749 877 -835
303 217 -575
765 98 594
431 810 -143
134 361 223
185 240 457
327 69 439
53 705 -896
41 257 -851
139 299 -8
871 490 430
403 229 524
269 385 -106
611 32 531
807 203 933
100 860 -864
133 871 -751
500 358 770
597 779 483
274 90 999
95 481 -970
444 845 636
691 37 880
707 575 364
724 348 -177
860 521 1000
118 523 -999
425 700 638
806 497 781
846 281 -337
33 94 -168
835 75 -870
571 176 898
4 320 827
546 603 651
607 773 -382
658 279 748
356 53 731
518 216 -205
121 874 639
87 300 -914
279 107 -576
163 212 -967
5 602 -559
895 556 -955
676 293 -182
751 243 682
848 780 695
640 349 509
627 551 -731
63 597 616
782 407 -806
383 797 -382
547 163 -126
764 598 -269
515 407 -828
103 31 -434
436 851 791
645 100 793
546 588 -751
502 249 181
139 694 304
793 649 -118
572 15 568
901 332 613
434 55 254
253 759 -20
244 640 -426
713 300 315
895 700 -111
830 284 -628
711 400 244
180 876 104
98 721 -413
799 484 -256
494 533 -472
57 64 -159
838 220 159
628 394 156
125 444 973
435 416 886
632 705 804
862 47 25
303 297 625
570 469 961
155 517 266
617 785 -583
883 214 -149
142 542 -48
163 195 947
387 714 -253
687 888 617
93 428 -93
646 498 -199
705 711 -163
176 234 149
812 230 428
346 532 -49
123 114 -742
762 499 -463
128 150 494
78 463 -982
494 909 -710
172 528 881
424 899 802
855 394 641
41 858 157
908 803 -95
496 614 -441
306 76 825
790 247 -637
706 704 -533
151 335 69
775 536 639
333 610 -110
752 168 -278
202 20 -195
622 786 285
707 631 726
449 4 -596
510 243 -633
717 913 -712
314 572 -669
95 689 18
826 594 -276
196 688 -680
136 812 -39
22 616 -426
588 329 376
155 454 530
319 31 -312
75 326 903
205 872 -230
424 456 838
815 137 611
334 307 -922
456 27 -25
427 882 920
892 282 923
607 146 -573
828 769 -51
557 648 -251
136 53 560
267 575 168
869 301 -997
335 598 -638
297 283 928
796 109 158
881 376 545
232 909 -948
680 349 -461
551 322 638
571 77 948
536 897 430
625 38 -810
292 435 -249
724 57 -796
403 404 215
220 493 -332
529 331 420
182 441 962
563 429 -107
37 356 -573
157 263 -170
490 358 -871
254 642 -140
48 572 -784
700 293 161
41 554 600
494 495 91
108 259 411
403 293 405
58 35 905
244 525 591
597 839 897
557 69 -372
678 671 245
504 99 517
673 385 45
73 895 393
254 285 -338
847 395 835
193 64 918
590 155 -552
408 889 370
26 297 520
234 55 189
380 765 420
839 671 -606
415 127 883
244 677 782
815 646 -524
397 362 -529
20 807 752
119 225 363
88 463 -551
457 470 216
358 725 -291
378 583 10
334 172 -427
277 313 -334
322 22 -445
838 821 -770
576 669 -854
768 72 -406
126 459 916
771 839 -465
572 284 -610
223 506 522
761 811 -238
445 390 90
259 544 -619
98 801 530
457 475 -300
73 318 504
718 150 -555
320 725 705
8 656 692
625 731 518
53 240 838
210 624 278
781 909 -433
7 288 681
821 643 -270
885 733 -952
260 418 -515
345 299 -20
582 297 731
562 879 199
22 583 681
435 552 788
161 92 -292
573 647 991
342 435 -489
692 214 837
536 487 -316
891 548 -519
703 206 -489
373 587 -955
284 53 292
493 603 -854
308 457 397
778 67 -266
751 279 872
632 775 257
156 322 -231
189 675 -921
515 469 -281
182 247 -825
250 569 -137
493 203 723
176 581 562
759 19 -540
322 619 -955
778 902 -823
536 21 -840
868 694 -61
71 22 -877
583 540 -496
468 498 -986
166 820 705
835 807 246
469 182 -950
844 685 321
775 36 -43
323 200 813
878 254 361
294 721 227
746 178 390
218 283 -80
334 877 573
531 597 949
781 638 -931
7 480 -152
381 858 -330
448 749 766
244 784 -733
798 112 -353
547 584 300
360 152 -74
847 265 -166
797 624 -42
700 611 -189
107 805 -982
124 175 -341
199 400 38
348 362 -412
793 721 169
70 402 980
585 898 105
610 744 34
223 771 -501
315 580 192
346 240 436
34 790 -842
387 125 -301
834 55 675
647 46 763
442 322 -76
316 385 -190
791 895 788
883 267 -928
678 435 120
426 75 -701
217 913 999
795 900 -255
147 686 -395
731 56 962
546 336 650
446 753 -244
314 180 948
864 538 571
461 165 88
780 93 -181
151 771 -310
905 255 815
678 446 -839
538 640 -716
461 415 -841
355 605 560
750 133 784
854 409 -97
305 757 36
587 142 915
211 451 512
798 558 99
244 874 -986
45 131 267
181 460 -37
235 97 550
107 684 -804
821 557 -426
299 485 -883
536 103 34
577 246 974
911 390 171
824 317 139
45 841 624
778 455 12
623 582 -815
648 412 -197
15 109 627
537 808 200
139 852 -267
786 626 -421
239 547 -958
658 588 -547
182 163 905
536 628 539
699 386 -811
413 568 -960
29 681 -24
671 601 783
907 349 -573
655 431 -186
750 444 -872
504 557 -560
744 546 -446
131 167 924
44 910 688
914 543 -584
140 136 -964
61 736 467
415 506 -454
909 808 -273
425 826 591
697 408 -156
822 146 -701
426 481 565
270 750 468
897 36 -506
811 558 -846
167 90 596
442 646 -929
518 189 -527
263 338 253
77 737 251
586 788 309
629 611 -31
808 121 312
787 199 834
590 130 -918
500 159 411
608 556 -149
268 816 -44
49 85 379
774 430 474
839 246 -847
533 860 883
305 568 719
159 97 -156
642 161 303
905 534 386
293 595 670
331 145 588
173 716 481
310 770 -579
241 6 816
180 413 -311
875 417 -961
754 912 664
236 645 -995
908 115 -402
563 623 218
229 699 471
274 749 549
495 282 975
723 309 -85
85 415 164
652 25 822
909 429 282
914 521 892
802 284 -319
192 193 -235
158 453 949
894 201 -284
541 753 241
272 840 217
533 390 617
825 290 -969
4 913 -598
755 625 809
879 393 -245
346 869 -458
823 896 -498
902 185 -165
600 207 361
337 115 -174
911 522 -253
258 894 820
220 378 578
45 482 -512
258 165 64
774 551 -617
864 190 940
521 835 671
707 392 36
166 397 26
105 222 -24
741 574 -770
576 182 -344
456 542 836
371 431 -408
422 913 -202
479 284 -677
611 843 728
444 894 -745
402 370 -97
659 370 720
547 852 84
864 197 -709
408 499 383
88 546 -134
8 813 594
154 174 66
907 15 -961
497 178 144
771 352 -833
714 277 991
138 346 959
912 47 733
64 110 -601
168 603 -493
43 664 -880
336 131 477
211 735 35
209 342 377
820 501 156
912 778 608
857 743 -245
757 336 -947
153 608 -108
