962 2547
399 809 611
456 714 208
870 293 553
123 686 360
30 164 796
61 515 906
856 132 731
195 883 817
1 217 125
570 230 37
654 423 379
193 410 340
527 468 235
726 921 685
235 174 112
206 543 232
916 707 939
906 794 594
199 262 74
481 779 211
911 337 882
743 918 802
946 699 251
578 763 303
658 170 246
36 212 598
665 255 602
534 519 607
443 275 859
570 766 389
115 644 173
325 317 809
669 812 414
466 274 434
92 25 68
848 345 254
409 643 874
552 375 345
710 309 117
30 660 631
339 941 234
869 562 188
61 776 621
475 215 589
605 121 946
453 487 465
334 85 515
354 145 893
670 618 678
296 352 665
718 224 901
567 769 386
592 191 881
292 931 874
429 257 412
106 813 105
405 728 540
342 922 547
244 791 456
148 401 779
277 857 432
46 678 967
378 299 517
372 232 266
735 497 108
279 232 930
546 586 499
187 663 442
106 354 425
626 916 673
162 649 404
752 36 483
35 839 915
738 10 887
268 198 50
942 526 168
145 492 152
305 97 369
600 831 293
854 794 582
618 683 764
848 579 383
14 158 733
956 579 627
285 929 979
257 504 518
335 599 189
917 167 558
929 235 649
339 172 898
291 523 768
655 908 284
770 672 906
96 66 375
526 43 169
364 302 554
700 837 80
651 695 282
626 138 445
653 579 574
14 101 442
485 419 754
704 739 914
303 782 9
88 793 62
626 958 898
400 504 52
3 318 727
426 663 862
660 318 378
475 409 286
735 161 891
333 646 551
220 254 369
490 151 343
109 229 599
790 80 156
510 563 106
164 953 685
200 573 430
424 598 316
445 305 643
809 528 138
254 565 463
183 710 704
344 882 848
891 419 171
587 278 798
426 320 226
539 391 811
92 277 485
559 600 215
726 481 656
469 67 594
796 662 582
208 821 91
117 385 832
340 205 207
199 456 10
33 190 257
178 244 869
316 671 292
357 173 400
422 265 234
208 634 462
333 570 431
830 430 572
942 196 507
820 639 214
418 946 627
898 434 54
29 804 236
233 890 419
672 395 288
517 689 764
575 514 17
630 142 928
56 114 203
30 943 468
777 300 969
139 166 429
951 802 335
875 689 250
455 961 719
651 84 334
906 94 697
497 665 884
582 596 470
168 330 541
267 888 750
497 318 407
619 428 62
27 672 334
792 882 979
627 99 20
763 85 663
554 470 631
75 955 172
337 928 425
106 26 599
255 679 642
54 783 28
74 79 595
319 704 365
159 521 988
751 38 912
698 847 54
313 145 330
32 86 368
173 933 105
187 682 120
111 324 692
159 891 646
132 179 868
535 338 345
24 346 724
731 135 87
228 821 708
347 537 20
364 947 220
265 375 259
894 669 953
346 351 36
647 324 939
415 508 366
571 258 920
347 209 713
724 197 548
399 173 29
485 720 183
857 499 455
696 94 939
226 856 173
423 890 930
460 464 336
473 588 636
234 614 271
807 107 144
654 212 180
478 500 216
700 599 689
133 114 102
29 356 767
812 828 837
346 481 45
454 455 291
672 254 240
903 595 327
46 915 424
598 693 313
936 444 3
826 739 918
546 480 685
687 185 277
411 13 652
523 66 348
241 168 6
643 255 887
326 938 936
652 154 91
480 201 17
595 44 615
529 369 443
263 729 813
26 861 166
769 770 400
703 674 537
503 649 307
704 364 972
613 962 906
330 37 968
559 402 167
789 396 607
190 103 806
507 276 843
649 102 891
690 169 367
374 346 625
961 177 972
591 118 72
293 468 175
742 506 91
570 850 452
271 938 491
54 769 246
265 691 870
482 66 609
518 28 388
892 255 364
847 871 813
77 306 623
323 619 308
332 315 995
435 377 779
885 171 371
734 548 853
467 528 36
222 595 331
48 87 535
323 523 334
203 17 665
376 6 198
70 482 761
654 265 547
44 885 255
940 155 698
814 897 209
466 301 957
486 956 996
217 957 482
809 425 208
209 324 606
108 556 167
575 828 642
222 162 148
559 249 678
309 159 109
8 374 882
410 243 682
860 37 595
170 581 864
126 67 524
847 680 710
526 205 239
745 408 850
200 43 874
595 273 548
301 578 489
360 256 835
389 537 78
404 71 234
318 40 289
61 513 991
235 72 254
135 165 818
717 498 80
229 374 193
147 836 28
587 222 109
622 151 54
306 960 515
435 125 984
791 623 9
465 728 697
357 438 498
468 657 861
700 586 421
335 184 498
168 866 212
690 652 173
197 269 472
102 311 596
128 86 178
143 494 65
108 253 341
759 133 88
559 94 204
149 217 48
90 153 645
653 697 695
362 486 865
531 333 961
230 102 378
784 843 234
709 632 328
837 936 35
259 817 390
839 7 521
693 544 349
181 241 636
254 164 341
40 865 565
889 207 887
693 104 566
531 229 364
534 814 798
309 48 20
123 863 786
501 866 538
633 673 588
622 228 329
541 171 848
371 673 461
939 480 869
316 832 31
886 545 727
272 398 972
866 834 341
212 827 93
921 338 738
686 574 786
456 817 339
871 86 599
870 785 136
449 328 901
115 505 482
826 164 955
591 104 855
584 635 764
768 731 895
726 552 517
610 704 632
184 653 894
556 445 224
477 878 855
702 164 979
608 817 524
816 767 412
790 12 208
463 648 448
312 220 353
476 168 171
508 757 177
596 906 766
488 76 528
461 520 303
555 507 34
698 952 871
481 229 101
7 191 666
417 786 854
250 407 300
268 182 314
561 639 680
198 593 724
6 395 924
814 626 816
150 43 909
959 158 942
533 803 961
746 204 29
250 50 298
404 483 632
668 213 500
844 148 42
703 527 464
240 673 574
475 957 782
928 137 61
818 39 63
677 235 549
914 478 715
349 479 94
624 623 27
274 525 571
785 513 979
608 820 653
398 543 33
727 205 210
230 915 907
588 551 421
766 71 912
766 946 708
258 457 922
22 244 325
724 135 4
262 224 132
801 231 63
885 462 451
461 194 290
145 124 215
389 341 933
77 777 46
96 366 517
232 498 463
894 475 557
499 832 371
764 615 416
509 343 143
47 164 147
524 820 915
49 381 967
119 336 795
802 882 243
506 596 420
955 946 777
52 366 742
664 586 125
591 572 307
281 198 454
425 380 692
648 96 287
43 738 109
905 471 93
845 96 978
440 796 801
474 930 7
862 782 128
134 383 536
298 867 469
212 431 823
587 113 76
693 395 370
620 709 422
88 587 400
670 928 448
281 209 825
242 423 650
648 708 765
897 634 505
775 698 108
113 43 366
680 794 595
816 728 983
846 514 704
476 958 426
788 945 509
527 808 501
546 950 541
143 402 921
951 873 965
539 257 261
904 860 12
309 427 744
81 641 355
697 381 821
583 476 630
415 844 693
775 71 221
581 638 627
626 163 277
528 824 392
595 308 189
856 909 525
103 365 23
56 76 804
419 477 749
236 750 68
892 11 732
413 336 8
608 872 18
248 488 163
393 299 588
169 907 663
381 190 242
876 65 35
62 907 156
377 902 817
453 228 818
834 117 806
390 479 78
577 384 523
879 302 21
39 564 93
588 834 807
876 590 281
827 95 487
837 215 701
62 113 589
534 296 719
722 500 483
338 134 643
269 249 667
878 743 615
386 323 278
135 918 820
767 680 298
795 828 720
948 311 672
790 796 924
740 262 578
167 591 882
273 793 316
915 104 267
681 569 196
556 433 251
612 873 298
606 379 816
907 957 862
847 629 612
360 952 972
249 271 914
32 223 904
467 659 932
891 793 304
299 396 889
441 146 882
305 879 345
658 806 639
727 939 160
235 555 429
