8358 27186
3652 3661 -310
1772 7096 748
3936 7688 280
7097 4801 -947
4207 2304 -281
7009 4019 141
148 7766 441
5937 5943 -451
1524 402 -710
900 3410 -971
6810 2489 -438
606 8345 275
6681 4586 -840
5876 7902 -121
5672 6886 -221
596 243 -118
4121 4642 682
6297 8298 188
8057 886 394
2868 6431 23
8168 7676 432
3233 6815 -32
2504 6398 198
2185 6260 819
3228 6872 -176
685 8029 -5
2353 8125 -923
3525 7965 -226
5325 7394 -560
5897 3309 -338
5014 4410 199
2967 8172 -865
1867 6261 -935
933 7094 220
7868 1937 -640
3403 5461 -499
8249 4464 102
8344 4727 -516
4452 7850 -838
1863 182 -158
5147 5841 705
2476 5660 -600
747 4654 -168
1976 1689 17
439 1672 -725
4257 2847 78
7777 4291 517
6059 923 920
2393 3801 -532
4638 2970 79
7157 2003 759
5407 4269 128
5472 2374 -703
3601 5588 -148
3236 5325 865
6752 1704 590
3078 7402 -99
7436 3789 -413
7913 1696 -568
703 482 231
6500 4159 -171
7692 7902 297
4504 6998 561
1854 5866 -315
5590 7524 296
3562 3839 -165
3068 4264 -191
1340 5115 -211
5312 4452 47
7543 4083 -314
6487 1552 622
1026 5295 -41
2346 1618 424
6253 6560 -725
6114 1483 31
3226 3342 368
7083 349 -531
6504 2102 953
4571 1628 680
2135 6304 -11
5157 1893 69
3738 4554 -156
5153 6395 -814
2534 1531 491
2348 3902 -549
1372 3339 -903
3513 7541 657
727 2548 -488
1068 3826 378
1268 2160 246
3066 7438 132
6369 4241 -177
4856 4943 -534
75 5508 128
546 8182 -746
3122 3691 -37
7501 6822 187
3375 5946 673
1283 3240 810
1891 5742 -929
7476 7907 -673
2595 8131 -842
8162 4016 747
4162 3067 57
7839 646 50
6103 8233 158
6926 3998 -39
7700 5757 103
7615 6525 -69
6627 315 465
726 5549 -997
4301 4775 -378
8038 3807 -564
1085 1288 -135
3054 4791 -102
5962 7774 -461
6642 1339 852
2910 696 782
7238 1443 724
8040 1388 -712
1207 6881 -958
4458 1607 144
7590 2451 671
7462 56 -771
1584 5226 -105
3291 4313 22
136 773 -982
5299 8213 191
7430 2990 -30
1591 1825 605
2306 4405 968
8289 4700 -298
414 4794 -403
5626 856 -421
7246 4022 980
7833 1216 -905
2893 5815 185
6207 2719 -74
7393 281 -223
4482 8026 856
4026 418 615
5621 4177 493
8073 6037 -914
5419 4902 768
7298 3895 78
5992 2418 -778
3518 2274 933
7988 4822 338
7171 7116 -475
6981 5142 -784
8067 8080 597
5464 4863 196
72 4066 302
26 3375 304
358 1622 246
3779 4012 81
2741 1087 919
4964 3185 874
2453 4597 -876
3435 1459 271
1414 3444 875
6385 4611 -528
6957 393 811
3062 512 -347
6219 7861 180
2923 8116 -70
1262 479 455
7015 4398 87
3370 6823 -372
2342 942 -103
4916 225 5
2974 6836 -419
7347 4680 886
2009 2992 739
160 7829 -268
405 4090 497
1909 1261 835
2151 2434 982
3245 8293 861
1577 4520 851
2007 5643 -273
4093 5386 518
7666 2054 -13
4493 5845 274
695 6392 90
7687 5232 319
7070 5674 -79
2430 6457 -255
2027 5934 -652
4479 1233 -213
2179 5581 53
668 4791 263
7548 2937 -257
1513 5442 -910
1424 2704 -265
8063 4453 -111
3867 2962 331
8249 5952 -163
7272 5123 -494
4918 2197 -261
6168 254 -78
5976 2859 -147
8001 3902 -292
308 1358 -363
996 977 910
555 2409 562
5187 4699 -382
2448 2597 94
7602 1095 -152
7182 6100 -462
7900 789 -380
3144 6613 38
8286 3376 -380
3538 4560 524
3602 1425 556
6574 5785 -278
6626 1670 -135
3905 3081 471
1998 8181 787
3633 866 -956
3167 3336 477
1508 620 -561
5082 4864 -271
2205 1659 -815
4216 2711 465
3334 7816 657
618 7644 278
6632 843 185
6192 6975 -946
2591 882 125
4870 6284 489
3138 2644 -269
586 4079 -551
6937 688 -940
6617 7320 -495
2255 6482 -44
8157 1317 752
2390 4267 167
6816 1934 -741
3335 7271 689
3704 3369 -98
1287 4423 345
4601 5536 -436
7343 8233 -334
943 5481 -333
6711 6213 -415
513 5686 244
5507 301 -275
4562 5387 609
3989 3544 503
6385 2523 337
5865 5410 370
399 7382 -185
1713 5389 657
1190 2670 -847
5462 3375 66
1131 5651 962
8253 2764 882
5746 498 646
935 6462 678
4872 7565 815
7926 7141 -404
7563 6853 78
741 2260 -195
3446 2036 -816
449 281 -1000
1155 5614 -261
3040 547 544
3810 13 -381
1709 7009 105
2407 1876 842
7646 1670 234
7303 8121 -569
7335 6694 377
4911 3714 892
5348 3718 572
3854 6158 -115
6063 2963 -120
7341 3536 -140
6989 5047 -170
3936 2388 405
5125 3598 -803
3142 6293 164
1810 7461 967
7746 695 972
5116 1123 157
6901 1690 -845
5248 2912 473
2792 616 852
5905 7219 -331
7480 5678 -636
2225 6392 603
1912 5673 34
6932 5743 -820
5963 3336 -201
3015 1969 244
4077 6186 25
6492 5420 -330
422 4965 916
5718 1893 -919
2254 6228 -839
1358 5981 257
