20
945 1996
435 797 297
671 302 819
733 14 92
876 264 288
698 382 765
921 489 113
82 350 779
727 821 501
890 909 144
36 839 771
464 772 339
258 113 482
31 25 626
174 323 906
831 677 718
287 609 395
812 687 993
311 103 308
758 323 197
123 874 750
37 299 141
487 556 61
877 819 415
262 845 404
483 315 613
234 915 583
392 318 291
294 901 801
722 185 399
246 399 366
518 104 94
388 739 504
677 830 344
630 940 740
769 754 425
47 210 126
817 744 877
99 49 754
362 539 41
231 237 494
671 812 385
70 128 209
503 584 786
265 149 638
71 107 361
55 124 739
870 488 737
751 49 198
468 448 345
331 194 307
739 142 308
434 771 253
392 548 220
233 936 686
355 909 345
483 732 587
146 286 971
563 613 497
119 794 65
795 642 516
201 577 877
648 363 550
420 620 526
642 118 125
129 255 568
582 635 533
407 87 523
240 914 134
508 111 657
735 338 246
793 716 617
630 860 654
889 42 863
447 783 170
921 791 89
944 924 674
887 751 600
560 858 843
938 94 223
898 700 922
784 282 291
739 313 221
221 471 31
759 823 240
241 554 611
805 320 704
593 140 994
321 569 188
244 467 72
309 201 649
469 360 989
634 841 456
328 853 84
570 223 166
264 204 782
333 932 619
540 552 43
258 1 636
462 686 34
511 10 891
301 167 100
354 336 224
271 547 863
306 152 724
446 274 132
737 141 50
423 61 981
791 73 279
627 649 165
325 685 997
595 376 43
296 908 730
747 112 330
432 383 568
760 794 236
727 470 936
590 911 396
643 172 693
758 341 85
183 92 903
55 879 974
802 883 396
945 105 708
470 163 530
44 917 409
700 728 830
236 495 745
539 264 366
121 941 638
282 364 899
146 620 908
641 393 675
902 481 395
267 792 164
29 351 595
824 756 747
8 583 305
542 376 720
300 760 253
747 394 771
157 945 683
687 924 469
813 388 382
184 250 151
450 764 144
615 468 461
235 593 677
80 898 329
21 206 95
467 692 321
36 74 229
644 559 851
82 388 759
437 312 952
630 887 386
15 408 48
542 793 174
603 114 212
268 270 690
164 311 827
377 500 986
562 506 587
366 83 946
697 610 5
385 590 440
12 206 818
193 771 410
784 753 879
248 244 525
7 172 609
894 192 636
239 477 908
504 224 351
784 813 190
772 122 802
460 204 233
909 344 315
887 694 676
480 533 985
693 769 425
945 504 108
807 215 863
288 432 709
806 648 248
