16
975 832
866 288 191
338 180 411
874 125 746
904 946 -764
926 239 245
390 108 596
244 20 192
898 56 -184
894 422 10
650 834 436
324 713 969
574 484 -583
687 767 -646
29 464 741
661 922 526
36 297 -352
822 718 706
424 709 987
365 117 189
920 641 -883
471 639 -870
477 465 -348
119 117 -727
428 887 607
690 659 -561
350 254 589
631 939 609
472 744 668
161 503 -901
238 572 202
411 353 -869
348 340 -963
686 544 32
778 510 -504
10 768 499
183 494 -385
485 783 67
72 476 521
917 104 -905
617 23 -813
49 118 -853
85 544 -187
223 750 146
39 756 734
650 799 8
560 223 474
456 43 -218
189 916 209
232 658 -585
902 328 -600
38 368 973
75 47 -748
243 27 611
909 332 -298
754 420 546
374 975 -938
528 722 595
203 945 962
497 53 957
610 538 245
907 64 698
461 635 339
278 367 35
67 480 513
751 213 -537
466 108 826
669 341 -446
275 455 869
906 639 436
472 158 996
602 91 566
899 577 -452
838 30 -937
878 198 666
474 39 -656
173 758 -419
802 852 387
200 810 552
630 237 16
501 911 -388
701 335 -659
350 744 171
905 30 -375
815 678 337
828 409 411
205 782 -42
423 192 645
81 473 -976
691 31 -377
822 725 -811
696 169 158
512 628 96
212 605 -104
879 519 -834
689 522 -587
640 395 -463
52 107 -241
533 416 942
349 401 -348
974 233 301
131 555 423
274 110 -646
587 932 -195
839 517 -831
896 845 -791
99 73 627
261 864 -851
771 636 190
780 419 806
400 43 108
603 656 340
473 339 620
369 851 -906
505 49 -103
521 684 -255
842 533 111
430 340 373
690 271 -715
497 931 -17
783 235 578
400 691 -105
908 295 -637
91 292 -21
484 741 -978
241 368 297
203 94 -580
938 122 -16
827 760 -90
187 648 728
333 30 -60
906 779 -949
886 327 994
813 717 443
308 107 239
517 382 -477
224 300 794
518 708 -797
40 65 -406
661 437 -274
116 193 -110
42 795 580
462 174 -433
174 959 -565
554 44 581
335 306 -169
39 237 745
398 475 508
822 487 822
12 423 -245
284 69 83
416 490 -646
292 104 350
193 549 -610
440 540 969
343 97 324
614 939 -627
330 445 478
476 333 -894
851 109 286
945 736 558
746 144 -666
119 245 -577
884 143 220
591 475 -391
515 705 -246
852 258 567
615 437 115
364 166 -434
554 364 791
768 835 -906
353 190 117
883 947 -678
609 235 400
488 116 -315
881 447 919
785 94 -227
425 614 650
758 891 -187
205 486 -332
554 760 471
646 532 950
534 317 836
478 458 -187
724 702 313
507 936 494
909 718 -980
120 842 -990
76 555 -592
62 219 -752
253 216 427
441 314 -52
874 300 -558
904 17 354
77 812 119
406 671 -86
239 418 -694
513 554 -230
893 953 -163
859 232 585
588 66 -936
217 293 316
445 817 736
866 303 -49
831 203 219
37 689 -772
855 173 -456
290 66 -2
820 639 214
494 865 -616
39 766 467
377 61 578
118 389 675
26 881 -258
505 784 -471
481 964 878
627 484 -981
875 649 -809
932 273 322
754 901 -761
122 45 -383
334 954 -551
623 643 437
441 12 813
720 39 268
961 877 108
398 891 -639
90 270 681
82 210 -241
720 471 370
948 252 910
29 250 802
263 936 -276
704 669 -805
436 678 867
610 179 -656
